date,symbol,side,quantity,price,trade_value,commission
2019-09-05,SPY,sell,-1.1556474405041586e-06,271.70482680000003,-0.00031399498766404577,3.139949876640458e-08
2019-09-06,SPY,sell,-1.1504150808538151e-10,272.93970329999996,-3.1399395084008574e-08,3.1399395084008574e-12
2019-09-09,SPY,sell,-1.3284683309377812e-14,273.8476125,-3.637978807091713e-12,3.637978807091713e-16
2019-09-30,SPY,sell,-118.02398291747375,272.1747798,-32123.151561682378,3.2123151561682377
2019-10-01,SPY,buy,0.011801218169932235,273.87438469999995,3.2320513650006504,0.000323205136500065
2019-10-02,SPY,buy,1.1800038166105276e-06,268.1308104,0.0003163953796228737,3.163953796228737e-08
2019-10-03,SPY,buy,1.1798858280256467e-10,264.7334707,3.123552702829728e-08,3.1235527028297282e-12
2019-10-04,SPY,buy,1.179767851239931e-14,267.8047778,3.159474672568932e-12,3.159474672568932e-16
2019-10-16,SPY,buy,117.01846805199565,274.45844309999995,32116.70655549781,3.211670655549781
2019-10-17,SPY,sell,-0.011653865721639158,275.5884384,-3.211670655549824,0.0003211670655549824
2019-10-18,SPY,sell,-1.1691576960036927e-06,274.6995273,-0.0003211670664313715,3.211670664313715e-08
2019-10-21,SPY,sell,-1.166366674215878e-10,275.35146210000005,-3.211607690900564e-08,3.2116076909005643e-12
2019-10-22,SPY,sell,-1.3160514366889297e-14,276.4313541,-3.637978807091713e-12,3.637978807091713e-16
2020-01-31,SPY,sell,-117.01851486848649,302.19477750000004,-35362.384064062724,3.5362384064062726
2020-02-03,SPY,buy,0.011700681418691579,298.8848855,3.4971568260976102,0.00034971568260976104
2020-02-04,SPY,buy,1.1699511467541986e-06,303.260323,0.0003547997626588987,3.547997626588987e-08
2020-02-05,SPY,buy,1.1698341633385141e-10,307.1267096,3.5928731736382685e-08,3.5928731736382685e-12
2020-02-06,SPY,buy,1.1697171916201115e-14,308.64886179999996,3.6103187982143986e-12,3.610318798214399e-16
2020-02-10,SPY,buy,115.47635153562625,306.1696139,35355.34996424336,3.535534996424336
2020-02-11,SPY,sell,-0.011381017259655235,310.6519317,-3.535534996422939,0.0003535534996422939
2020-02-12,SPY,sell,-1.135751137461337e-06,311.29486740000004,-0.0003535534997354261,3.535534997354261e-08
2020-02-13,SPY,sell,-1.1390699209646763e-10,310.3749594,-3.5353878047317266e-08,3.5353878047317266e-12
2020-02-14,SPY,sell,-2.3325924030272435e-14,311.9258043,-7.275957614183426e-12,7.275957614183426e-16
2020-02-26,SPY,sell,-115.47651703420495,290.3559615,-33529.295134137705,3.3529295134137707
2020-02-27,SPY,buy,0.011546497053704285,282.3552327,3.2602138624685377,0.0003260213862468538
2020-02-28,SPY,buy,1.1545342519456443e-06,266.8586832,0.00030809749018351163,3.0809749018351166e-08
2020-03-02,SPY,buy,1.1544188100639837e-10,275.6435616,3.182081123840704e-08,3.182081123840704e-12
2020-03-03,SPY,buy,1.1543033797266654e-14,286.0876059,3.3023189038828033e-12,3.3023189038828034e-16
2020-04-06,SPY,buy,139.82992062923867,239.7389715,33522.68135658031,3.352268135658031
2020-04-07,SPY,sell,-0.013150403800045191,254.91750570000002,-3.352268135655322,0.0003352268135655322
2020-04-08,SPY,sell,-1.345751475983979e-06,249.1000875,-0.00033522681042086333,3.352268104208633e-08
2020-04-09,SPY,sell,-1.2992721411502664e-10,258.0491925,-3.3527612686157227e-08,3.3527612686157226e-12
2020-06-18,SPY,sell,-139.83075195475269,288.1831788,-40296.87059231495,4.029687059231494
2020-06-19,SPY,buy,137.33012020251869,293.4013372,40292.84090525572,4.029284090525572
2020-06-22,SPY,sell,-0.014011526711694582,287.5692402,-4.0292840905240155,0.00040292840905240153
2020-06-23,SPY,sell,-1.376536620802826e-06,292.7117259,-0.000402928410039749,4.02928410039749e-08
